"","workerID","congruent","incongruent","stroop_difference"
"1","5RXRA10",718.758620689655,892.578947368421,173.820326678766
"2","WKC0A11",793.322033898305,1151.25714285714,357.935108958838
"3","3Q7CA11",932.254237288136,1106.89743589744,174.6431986093
"4","D6DCA12",654.322033898305,705.648648648649,51.3266147503435
"5","CAQQA12",823.169491525424,1120.69444444444,297.524952919021
"6","UFDFA13",816.372881355932,1056.46153846154,240.088657105606
"7","EKO0A14",810.033898305085,883.666666666667,73.6327683615818
"8","J0RVA15",1130.53448275862,1355.80555555556,225.271072796935
"9","I0XUA16",733.666666666667,841.948717948718,108.282051282051
"10","NQL8A16",727.389830508475,967.692307692308,240.302477183833
"11","0E3JA19",672.716666666667,786.8,114.083333333333
"12","AX1ZA19",820.2,933.125,112.925
"13","L1ESA19",732.833333333333,936.717948717949,203.884615384615
"14","LEEXA19",781.070175438596,909.368421052632,128.298245614035
"15","QCESA1C",670.283333333333,847.842105263158,177.558771929825
"16","NU4LA1D",1018.2,1065.625,47.425
"17","75MRA1E",989.25,1073.5,84.25
"18","9DTAA1F",719.133333333333,862.736842105263,143.60350877193
"19","37T1A1H",867.1,973.525,106.425
"20","G60KA1I",678.275862068965,714.675675675676,36.3998136067102
"21","UHO4A1K",1057.78333333333,1224.07692307692,166.29358974359
"22","DOH9A1L",618.783333333333,808.512820512821,189.729487179487
"23","HTDQA1O",687,872,185
"24","HQRMA1P",751.25,857.7,106.45
"25","X2B8A1P",721.379310344828,930.74358974359,209.364279398762
"26","AU0MA1Q",1148.58333333333,1349.05128205128,200.467948717949
"27","BSY0A1Q",949.137931034483,1165.66666666667,216.528735632184
"28","0A4HA1R",697.879310344828,904.435897435897,206.55658709107
"29","346BA1T",980.438596491228,1041.88888888889,61.4502923976609
"30","CMXVA1T",778.964912280702,1127.83333333333,348.868421052631
"31","87H6A1T",684.283333333333,901.486486486486,217.203153153153
"32","K8Q0A1T",645.533333333333,781.125,135.591666666667
"33","874ZA1T",693.483333333333,964.75,271.266666666667
"34","1R9GA1U",753.933333333333,933.948717948718,180.015384615385
"35","YUY3A1U",667.237288135593,942.606060606061,275.368772470467
"36","X0HZA1V",598.189655172414,824.027027027027,225.837371854613
"37","ATWYA1V",880.877192982456,1078.54054054054,197.663347558085
"38","WDODA1V",719.457627118644,958.083333333333,238.625706214689
"39","HIRQA1W",750.947368421053,1034.17948717949,283.232118758434
"40","3ASGA1W",779.75,966.425,186.675
"41","JJY6A1X",1011.25862068966,1228.25714285714,216.998522167488
"42","E5KZA1Y",678.254237288136,951.783783783784,273.529546495648
"43","PV00A1Y",635.933333333333,912.205882352941,276.272549019608
"44","XZ0KA1Y",1216.12068965517,1446.78378378378,230.663094128611
"45","3UWWA1Z",791.293103448276,889.075,97.7818965517242
"46","0Q8BA1Z",882.333333333333,992.9,110.566666666667
"47","O959A1Z",805.283333333333,855.4,50.1166666666667
"48","ULFSA21",842.016949152542,979.666666666667,137.649717514124
"49","SSRYA21",663.683333333333,848.972222222222,185.288888888889
"50","UANFA22",823.245614035088,985.65,162.404385964912
"51","LT94A24",612.766666666667,731.974358974359,119.207692307692
"52","VE4VA25",972.396551724138,1230.82857142857,258.432019704434
"53","2MOXA26",777.909090909091,866.026315789474,88.1172248803828
"54","9YX6A26",720.796610169491,976.297297297297,255.500687127806
"55","AXGGA26",828.456140350877,977.894736842105,149.438596491228
"56","FYLBA27",616.65,754.052631578947,137.402631578947
"57","1H0UA27",835.283333333333,1126.71794871795,291.434615384615
"58","WMMKA28",613.183333333333,775.289473684211,162.106140350877
"59","6SN4A29",715.01724137931,963.257142857143,248.239901477833
"60","D0XWA29",1231.03571428571,1417.08571428571,186.05
"61","BZQ3A2A",1310.33898305085,1460.55263157895,150.2136485281
"62","71SYA2A",669.672413793103,864.351351351351,194.678937558248
"63","KF43A2A",885.684210526316,1107.79487179487,222.110661268556
"64","FIP0A2A",810,905.475,95.475
