"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","lmem.class","lmem.tc","bm.class","bm.tc","bbm.class","bbm.tc"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","FB",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",0,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"1","LR",1,"19",0.293,0.68,"2","3",0.25,0.75,"4","4","5","1","1","1","1","1"
"2","FB",0,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",0,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",0,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
"2","FB",1,"7",0.762,0.236,"1","4",0.8125,0.4375,"3","3","2","2","1","4","4","4"
