"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","bbm.class","bbm.tc"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","FB",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",0,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"1","LR",1,"5",0.993,0.965,"1","3",1,0.9375,"4","4","1","1"
"2","FB",0,"5",0.926,0.964,"1","3",0.9375,0.9375,"4","4","3","3"
"2","FB",1,"5",0.926,0.964,"1","3",0.9375,0.9375,"4","4","3","3"
"2","FB",1,"5",0.926,0.964,"1","3",0.9375,0.9375,"4","4","3","3"
"2","FB",1,"5",0.926,0.964,"1","3",0.9375,0.9375,"4","4","3","3"
