,perspective,targetObj,targetPos,respObjPos,utteranceOffsetTime,respDropTime,respTime,gender,age,acc,total,accuracy.prop,own.cod,other.cod,meanRespTime,sdRespTime,upper,byPptMeanRespTime,logRespTime,responderType,aq_score_subset,opt_score_total,opt_n,opt_score,congruent,incongruent,stroop_difference,aq_score_subset_centred,aq_score_subset_centred_scaled,opt_score_centred,opt_score_centred_scaled,stroop_difference_centred,stroop_difference_centred_scaled,perspective_cod
0,different,cap,L,L,1638827598316,1638610075772,1658,male,50,44,44,1.0008801965102365,1,0,1633.657914366084,1462.8969756884098,6022.350849423689,1982.3012182250193,7.124635216370086,egocentric,52,1152,12,106.15652662253498,628.5687204455548,918.4094508587999,172.63546061070974,9.078442611626592,0.06524952965162394,60.616858908522225,-0.10666855443658747,-67.0099280145197,-0.06736372382611211,0.4871428638450791
1,same,clock,F,L,1639500966755,1639467938738,819,female,37,44,44,0.9998589565041236,0,0,1633.6576199496399,1462.8969100393608,6022.351884394792,1376.9523934251863,6.612057374814925,egocentric,33,463,12,31.56664279080355,641.7705621594265,770.6358389714577,292.0772474545748,-13.831773523698313,-0.17168835759185436,-40.132696359917766,-0.30469091837816475,71.04241205501962,0.8489027957314942,-0.4742441385224657
2,different,shoe,L,L,1639414827657,1639099039167,2861,male,45,40,44,0.9999211058163989,0,1,1633.6565179337003,1462.8989802468943,6022.351129866061,2315.561266262556,6.525802972745649,mixed,43,217,12,15.430783240505363,732.6256744864677,763.2778932007088,298.28115393574853,-8.020116400864156,0.019607280079949274,-50.45075554231248,-0.3961710460752415,0.6378938335028366,1.954434880849228,0.48616661296624925
3,different,lemon,F,B,1639444245510,1639488716294,1448,male,39,43,44,1.0001635644805378,0,1,1633.6565587563434,1462.8979299993223,6022.350952574636,2006.9788780814945,6.342461838567544,othercentric,40,14,12,3.3580707236512524,600.2797523228788,999.7926246738027,300.137173637893,9.054972734427473,0.0005964999708566038,-46.89603102202965,-0.4587394961375723,102.92829290758098,0.8630791360276522,0.4956859464154359
4,same,key,L,L,1639399554382,1638590993953,1312,female,34,37,44,0.9546749449516152,1,1,1633.6577062021638,1462.8983159548695,6022.351804974416,1538.1660572656192,6.880543419570883,mixed,34,1052,12,103.31126932861484,1251.677484717116,1424.8662461707656,320.5773286118242,-11.164632343740077,-0.14322587126008157,39.639944944050356,0.39083720146641543,61.11721210155247,0.9426750418977761,-0.49677614541712056
5,different,kettle,R,R,1639081154195,1639073052326,1371,male,37,43,43,0.9767661530680504,0,1,1633.6564343727223,1462.8978382211135,6022.350497954496,2400.71549055294,7.467301433679016,othercentric,37,215,12,18.423485363884264,757.6397957808736,799.0545223461852,239.02084144345167,-12.696759618919579,-0.11477916559055262,-40.420818007277134,-0.35881715059839725,15.323955243968129,0.0626412187572346,0.505070317369038
6,same,cap,B,L,1639069566173,1639001680137,961,male,44,42,44,0.9765350053516101,1,0,1633.65715802218,1462.8982273283461,6022.350742995631,1591.5531674743027,7.603396510897118,egocentric,34,1413,12,114.55220254772858,745.0976743503627,907.1099586832402,119.21697091002474,-5.612820531642564,-0.10490453892151605,11.657329830733467,0.4624328197816077,-52.73877115411391,0.948170497366071,-0.48789497547923305
7,different,vase,F,B,1639479397725,1639532089357,1663,male,38,40,44,1.0009548874843037,0,1,1633.6565465972787,1462.8972207864533,6022.349773012847,929.5109175758352,7.589612831310817,othercentric,43,67,12,-1.7510824907782752,868.1922485159457,691.3388067642948,151.3134616837051,16.05103506829843,0.1332519245951273,-60.988056534221066,-0.5761884229245922,-50.8097353301297,0.38364633919840596,0.5038879517225537
8,same,lemon,R,R,1638811048661,1638570373171,853,male,32,37,43,0.9771955087520154,1,0,1633.657120312859,1462.8980031279145,6022.350121736064,1532.9061720817797,6.780497864091849,mixed,38,1312,12,90.93462348966975,1206.1665640434337,967.6288136125831,292.1754048985461,-2.942611695680332,-0.1575985105051501,23.887410199962893,0.35180010013695096,-83.18780003423439,0.6995763300609188,-0.4918883370257595
9,same,crab,F,B,1639456783265,1638618225964,1714,male,31,38,44,0.844683705213161,1,0,1633.6573626288184,1462.897618087019,6022.351641227712,2294.4385653452714,7.378393450141797,mixed,37,1094,12,100.918681269715,947.4274383871157,1420.1162232576103,280.7884593805296,-6.258198486221801,-0.08765774490579459,50.26853934339999,0.45980853589820714,147.22681286746626,0.7388438363733908,-0.49477657251215723
10,different,lemon,R,L,1639057304878,1639179270140,1121,male,32,42,44,0.9752776847010797,1,0,1633.6567005657414,1462.8986022994625,6022.35192359879,791.2492408531854,7.004550897465967,egocentric,52,1197,12,108.39104410836066,792.913951146282,801.6772022517606,245.29543611465564,3.2499530625788373,0.09121259572883006,37.09845745738956,0.43191219279114645,-22.912189057073576,0.44990431381682033,0.5051081658327319
