"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","lmem.class","lmem.tc","bm.class","bm.tc","bbm.class","bbm.tc"
"1","FB",1,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","FB",1,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","FB",1,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","FB",1,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","LR",0,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","LR",0,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","LR",1,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"1","LR",1,"3",1,0.43,"6","2",1,0.5,"1","1","1","1","1","1","1","1"
"2","FB",0,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","FB",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","FB",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","FB",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","LR",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","LR",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","LR",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"2","LR",1,"15",0.437,0.967,"3","3",0.75,1,"2","3","2","2","2","2","2","2"
"3","FB",0,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","FB",1,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","FB",1,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","FB",1,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","LR",0,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","LR",0,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","LR",0,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"3","LR",0,"11",0.51,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"4","FB",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","FB",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","FB",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","FB",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","LR",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","LR",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","LR",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"4","LR",0,"11",0.513,0,"4","1",0,0,"4","2","4","4","4","4","4","3"
"5","FB",0,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","FB",0,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","FB",0,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","FB",0,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","LR",0,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","LR",0,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","LR",1,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"5","LR",1,"23",0.012,0.486,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"6","FB",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","FB",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","FB",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","FB",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","LR",0,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","LR",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","LR",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"6","LR",1,"3",0.996,0.482,"6","2",1,0.75,"1","1","1","1","1","1","1","1"
"7","FB",0,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","FB",0,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","FB",0,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","FB",0,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","LR",0,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","LR",0,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","LR",1,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"7","LR",1,"23",0.036,0.52,"1","4",0,0.5,"4","2","4","4","5","4","4","3"
"8","FB",0,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","FB",0,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","FB",1,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","FB",1,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","LR",1,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","LR",1,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","LR",1,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"8","LR",1,"15",0.484,0.991,"3","3",0.5,1,"5","3","5","2","2","2","2","2"
"9","FB",1,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","FB",1,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","FB",1,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","FB",1,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","LR",0,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","LR",0,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","LR",0,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"9","LR",1,"3",0.986,0.543,"2","2",1,0.25,"1","1","1","1","3","1","1","1"
"10","FB",0,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","FB",0,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","FB",0,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","FB",0,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","LR",0,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","LR",1,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","LR",1,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"10","LR",1,"23",0.065,0.553,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"11","FB",0,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","FB",0,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","FB",0,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","FB",0,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","LR",1,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","LR",1,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","LR",1,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"11","LR",1,"23",0.025,0.473,"5","4",0,1,"4","2","4","4","6","4","4","3"
"12","FB",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","FB",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","FB",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","FB",1,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","LR",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","LR",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","LR",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"12","LR",0,"11",0.395,0,"4","1",0.25,0,"6","4","3","3","4","3","5","4"
"13","FB",0,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","FB",1,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","FB",1,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","FB",1,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","LR",0,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","LR",0,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","LR",0,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"13","LR",1,"11",0.544,0.038,"2","2",0.75,0.25,"3","1","1","1","3","1","3","4"
"14","FB",0,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","FB",1,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","FB",1,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","FB",1,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","LR",0,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","LR",0,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","LR",0,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"14","LR",0,"11",0.507,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","FB",0,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","FB",1,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","FB",1,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","FB",1,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","LR",0,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","LR",0,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","LR",0,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"15","LR",0,"11",0.502,0,"2","1",0.75,0,"3","1","1","1","3","1","3","4"
"16","FB",0,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","FB",0,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","FB",0,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","FB",0,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","LR",0,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","LR",1,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","LR",1,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"16","LR",1,"23",0.011,0.537,"1","4",0,0.75,"4","2","4","4","5","4","4","3"
"17","FB",0,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","FB",0,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","FB",0,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","FB",1,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","LR",1,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","LR",1,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","LR",1,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
"17","LR",1,"15",0.485,1,"5","3",0.25,1,"5","2","4","4","6","4","6","2"
