"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","lmem.class","lmem.tc","bm.class","bm.tc"
"1","FB",0,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","FB",0,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","FB",0,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","FB",0,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","LR",0,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","LR",1,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","LR",1,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"1","LR",1,"24",0.009,0.844,"4","1",0,0.75,"1","1","1","1"
"2","FB",0,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","FB",0,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","FB",0,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","FB",0,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","LR",0,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","LR",1,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","LR",1,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"2","LR",1,"24",0.046,0.729,"4","1",0,0.75,"1","1","1","1"
"3","FB",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","FB",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","FB",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","FB",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","LR",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","LR",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","LR",0,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"3","LR",1,"22",0,0.326,"2","4",0,0.25,"2","3","2","1"
"4","FB",1,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","FB",1,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","FB",1,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","FB",1,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","LR",0,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","LR",0,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","LR",0,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"4","LR",1,"4",1,0.749,"1","3",1,0.25,"3","3","3","2"
"5","FB",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","FB",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","FB",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","FB",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","LR",0,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","LR",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","LR",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"5","LR",1,"4",1,0.695,"3","2",1,0.75,"4","1","4","3"
"6","FB",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","FB",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","FB",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","FB",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","LR",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","LR",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","LR",0,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"6","LR",1,"22",0,0.229,"2","4",0,0.25,"2","3","2","1"
"7","FB",1,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","FB",1,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","FB",1,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","FB",1,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","LR",0,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","LR",0,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","LR",1,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"7","LR",1,"4",0.952,0.637,"1","3",1,0.5,"3","3","3","2"
"8","FB",0,"24",0.052,0.726,"4","1",0,0.75,"1","1","1","1"
"8","FB",0,"24",0.052,0.726,"4","1",0,0.75,"1","1","1","1"
"8","FB",0,"24",0.052,0.726,"4","1",0,0.75,"1","1","1","1"
