"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","bbm.class","bbm.tc"
"1","FB",1,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","FB",1,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","FB",1,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","FB",1,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","LR",0,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","LR",0,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","LR",0,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"1","LR",1,"7",0.743,0.215,"1","1",1,0.25,"1","1","1","1"
"2","FB",0,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","FB",0,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","FB",0,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","FB",0,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","LR",0,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","LR",1,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","LR",1,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"2","LR",1,"19",0.238,0.765,"3","3",0,0.75,"2","2","1","2"
"3","FB",0,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","FB",0,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","FB",0,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","FB",1,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","LR",0,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","LR",0,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","LR",1,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"3","LR",1,"19",0.251,0.682,"4","4",0.25,0.5,"3","3","1","2"
"4","FB",0,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","FB",0,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","FB",1,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","FB",1,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","LR",0,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","LR",1,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","LR",1,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"4","LR",1,"9",0.676,0.714,"2","2",0.5,0.75,"3","3","1","4"
"5","FB",0,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","FB",0,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","FB",1,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","FB",1,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","LR",0,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","LR",0,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","LR",0,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"5","LR",1,"7",0.8,0.238,"4","4",0.5,0.25,"3","3","1","3"
"6","FB",0,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","FB",0,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","FB",0,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","FB",1,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","LR",1,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","LR",1,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","LR",1,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"6","LR",1,"19",0.353,0.735,"3","3",0.25,1,"2","2","1","2"
"7","FB",0,"19",0.235,0.695,"3","3",0,0.75,"2","2","1","2"
"7","FB",0,"19",0.235,0.695,"3","3",0,0.75,"2","2","1","2"
"7","FB",0,"19",0.235,0.695,"3","3",0,0.75,"2","2","1","2"
"7","FB",0,"19",0.235,0.695,"3","3",0,0.75,"2","2","1","2"
"7","LR",0,"19",0.235,0.695,"3","3",0,0.75,"2","2","1","2"
"7","LR",1,"19",0.235,0.695,"3","3",0,0.75,"2","2","1","2"
