"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","lmem.class","lmem.tc","bm.class","bm.tc","bbm.class","bbm.tc"
"1","FB",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",0.934,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"2","FB",0,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","FB",0,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","FB",0,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","FB",0,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","LR",1,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","LR",1,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","LR",1,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"2","LR",1,"25",0.003,1,"2","1",0,1,"2","2","2","2","2","2","2","2"
"3","FB",0,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","FB",0,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","FB",0,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","FB",0,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","LR",0,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","LR",1,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","LR",1,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"3","LR",1,"25",0.037,0.949,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"4","FB",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","FB",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","FB",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","FB",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","LR",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","LR",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","LR",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"4","LR",0,"21",0,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"5","FB",0,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","FB",0,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","FB",0,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","FB",0,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","LR",1,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","LR",1,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","LR",1,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"5","LR",1,"25",0.023,0.96,"2","1",0,1,"2","2","2","2","2","2","2","2"
"6","FB",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","FB",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","FB",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","FB",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","LR",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","LR",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","LR",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"6","LR",0,"21",0.06,0,"3","4",0,0,"4","4","3","4","3","4","4","4"
"7","FB",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","FB",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","FB",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","FB",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","LR",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","LR",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","LR",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"7","LR",1,"5",0.982,0.998,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","FB",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","FB",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","FB",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","FB",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","LR",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","LR",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","LR",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"8","LR",1,"5",1,1,"4","3",1,1,"1","1","1","1","1","1","1","1"
"9","FB",0,"20",0.321,0.877,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"9","FB",0,"20",0.321,0.877,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
"9","FB",0,"20",0.321,0.877,"2","1",0,0.75,"4","3","2","2","2","2","3","3"
